cohort,childid,treat,absent,absenteeism,cgender,cage
1,663,0,7,0,1,4.50819672131
1,664,0,3,0,0,4.22677595629
1,667,1,10,0,1,4.74885844749
1,668,1,5,0,1,4.63114754099
1,669,1,3,0,0,3.0200913242
1,671,0,12,0,1,3.14337899544
1,672,0,10,0,0,3.60365296804
1,673,1,3,0,1,4.59016393443
1,674,1,16,0,1,4.26229508197
1,675,1,8,0,1,4.07923497268
1,676,1,10,0,0,4.53551912569
1,677,1,5,0,0,4.33879781421
1,678,1,27,1,0,4.19945355192
1,679,1,7,0,1,4.84200913242
1,680,1,30,1,0,4.86118721461
1,681,1,45,1,1,4.5
1,682,0,5,0,1,4.20765027323
1,683,0,20,1,0,4.43989071039
1,684,0,5,0,0,4.38797814208
1,685,0,12,0,1,4.10382513661
1,691,1,22,1,1,4.68858447489
1,692,1,21,1,0,4.50819672131
1,693,1,2,0,0,4.66393442623
1,724,0,20,1,1,4.67488584475
1,725,0,9,0,0,4.06284153006
1,726,0,15,0,0,4.01366120219
1,727,0,7,0,1,3.9262295082
1,729,1,30,1,0,4.65300546448
1,730,1,7,0,1,3.84426229508
1,731,1,10,0,1,4.59289617487
1,733,0,25,1,1,4.68036529681
1,734,0,23,1,1,3.7868852459
1,735,0,9,0,0,4.36885245902
1,736,0,20,1,1,3.45570776256
1,737,0,14,0,0,4.11202185793
1,738,0,21,1,1,4.36065573771
1,739,0,23,1,0,4.34153005465
1,740,0,17,0,1,4.09016393443
1,745,1,4,0,1,3.15159817352
1,746,1,4,0,0,3.59543378996
1,747,1,10,0,0,3.00639269407
1,749,0,7,0,0,4.44535519126
1,751,0,5,0,0,4.18852459017
1,752,0,2,0,0,4.44535519126
1,753,1,9,0,0,4.16120218579
1,754,1,6,0,1,3.88524590164
1,755,1,3,0,1,4.41803278689
1,756,1,11,0,0,4.81187214612
1,758,0,32,1,0,3.04200913242
1,759,0,10,0,1,3.13789954338
1,760,1,5,0,1,4.7598173516
1,761,1,7,0,1,4.7899543379
1,762,1,5,0,0,4.41803278689
1,763,1,14,0,0,3.68579234973
1,765,1,3,0,1,4.80639269407
1,766,0,10,0,1,4.24590163935
1,767,0,10,0,0,3.98633879782
1,768,0,5,0,1,4.57377049181
1,769,0,9,0,0,4.16939890711
1,771,0,24,1,0,4.27595628416
1,772,1,10,0,0,4.56284153006
1,774,1,4,0,1,4.11475409836
1,775,0,15,0,0,4.04098360656
1,776,0,5,0,0,3.66939890711
1,777,0,6,0,0,4.38524590164
1,779,0,10,0,1,4.31420765028
1,780,0,10,0,1,4.57650273224
1,781,1,10,0,1,4.09289617487
1,790,1,30,1,1,3.6912568306
1,791,1,19,1,0,4.40983606558
1,792,1,2,0,1,3.7131147541
1,793,1,12,0,1,4.34153005465
1,794,1,4,0,1,4.57923497268
1,795,1,5,0,0,4.50546448088
1,796,1,41,1,0,3.6200913242
1,800,0,5,0,0,3.90983606558
1,802,0,2,0,1,4.51912568306
1,804,0,3,0,1,4.62021857924
1,808,1,10,0,1,4.5
1,809,0,4,0,1,4.17213114754
1,811,1,20,1,0,4.82831050229
1,812,1,20,1,0,4.43715846995
1,813,1,10,0,0,3.86338797814
1,815,1,12,0,0,4.30601092896
1,816,1,12,0,0,3.87978142077
1,818,1,9,0,1,3.87704918033
1,822,0,29,1,1,4.41803278689
1,823,0,3,0,0,3.92349726776
1,824,0,3,0,1,3.86338797814
1,825,0,5,0,0,4.59016393443
1,828,0,10,0,1,4.19945355192
1,829,0,37,1,1,5.03652968037
1,830,0,22,1,0,5.05570776256
1,831,0,10,0,0,4.10655737705
1,832,1,15,0,0,4.06830601093
1,833,1,10,0,0,3.16803652968
1,834,1,10,0,1,3.12420091324
1,835,1,14,0,1,3.51324200913
1,840,0,8,0,1,4.2868852459
1,841,0,7,0,0,4.23224043716
1,842,0,3,0,1,3.86065573771
1,843,0,4,0,0,3.90163934426
1,844,1,10,0,0,4.37431693989
1,849,1,15,0,1,4.28142076503
1,852,1,10,0,0,4.16666666667
1,853,1,6,0,0,4.65846994536
1,854,1,4,0,0,4.46448087432
1,857,0,18,1,0,4.10109289618
1,858,0,16,0,0,4.60928961749
1,859,1,20,1,1,4.30601092896
1,860,0,30,1,1,3.77595628416
1,861,0,22,1,1,3.81693989071
1,862,1,20,1,1,4.0218579235
1,863,1,6,0,0,3.8825136612
1,864,1,8,0,0,4.01639344263
1,865,0,3,0,1,4.24316939891
1,874,0,2,0,0,4.10382513661
1,875,0,1,0,0,4.39071038252
1,876,0,5,0,1,4.58196721312
1,877,0,27,1,1,4.40710382514
1,878,0,30,1,1,4.50819672131
1,879,0,10,0,0,4.10655737705
1,880,0,26,1,0,4.55191256831
1,881,1,5,0,0,4
1,882,1,4,0,0,3.40365296804
1,888,0,13,0,1,3.58721461187
1,889,0,5,0,0,4.60655737705
1,890,0,11,0,0,3.90983606558
1,891,0,12,0,1,3.46118721461
1,892,1,20,1,0,4.4043715847
1,894,1,30,1,1,3.13515981735
1,895,1,10,0,1,2.98447488585
1,897,1,1,0,0,4.27049180328
1,898,1,5,0,0,4.25956284153
1,899,1,5,0,1,3.8825136612
1,901,0,5,0,1,4.09016393443
1,902,0,19,1,0,4.13114754099
1,903,0,14,0,0,3.78961748634
1,912,0,7,0,0,3.11598173516
1,913,0,30,1,1,3.43652968037
1,914,0,20,1,0,3.59817351598
1,915,0,17,0,1,3.16529680366
