id,mentor,mentor_school,education,income_log,gpa
91713298,0,97,13,10.9,1.87
91713997,0,97,13,10,1.47
91713998,0,97,15,11,3.44
91714043,0,97,15,10.13,2.56
91714099,0,97,15,9.62,1.96
91714212,0,97,13,16.12,1.06
91714928,0,97,11,10.09,0.93
91714938,0,97,11,8.7,0.5
91715124,1,11,17,9.21,2.11
91715286,1,12,15,11.41,3.22
91715892,1,11,19,9.9,3.54
91715921,0,97,13,9.74,0.96
91715952,0,97,13,8.85,2.84
91715984,1,11,15,0,2.75
91715991,1,11,17,10,3.59
91716018,1,11,19,9.55,3.85
91716096,1,11,17,10.6,3.61
91716288,1,11,15,10.55,2.27
91716321,1,11,15,10.92,2.77
91716484,0,97,13,10.13,2
91716903,1,11,15,10.17,2.2
91717067,0,97,13.5,9.95,2.07
91717862,0,97,13,9.77,2.73
91717910,0,97,15,9.11,3.2
91718077,1,11,15,10.2,3.7
91718081,1,11,15,9.74,2.76
91718142,1,11,17,10.24,3.75
91718294,1,12,13,11.26,2.57
91718844,1,11,17,9.62,3.29
91718949,0,97,17,9.95,3.06
91719273,0,97,13.5,10.71,3
91719375,0,97,11,9.47,0.8
91719930,0,97,15,10.13,3.45
91719932,1,11,17,10.65,3.58
92316359,0,97,15,8.29,3.25
92374975,1,11,20,10.37,4
92374978,1,11,17,10.82,1.81
92374979,0,97,15,8.07,1.87
92500184,1,11,18,10.36,1.96
92500219,1,11,15,10.13,1.93
92500618,0,97,15,10.49,2.3
92503208,0,97,15,9.8,2.3
92504085,1,11,17,9.9,3.22
92504100,1,11,15,10.13,3.19
92506022,0,97,15,10.65,2.94
92506995,0,97,15,9.62,2.27
92507858,0,97,13.5,10.04,2.33
92508726,1,12,19,11.08,3.25
92540117,0,97,13,10.2,2.57
92570236,0,97,15,10.93,1.97
92570284,0,97,15,16.12,2.63
92570698,0,97,13,10.31,3.08
92571052,0,97,17,11.29,2.36
92571208,1,11,18,10.92,2.78
92571801,0,97,15,10.39,2.3
92572101,0,97,15,5.3,2.8
92572104,0,97,17,10.92,2.83
92572108,1,11,17,11.16,3.56
92572119,1,12,19,10.71,3.65
92572162,0,97,14,9.39,2.47
92572267,0,97,13,9.62,1.64
92572321,0,97,11,8.01,2.69
92572323,0,97,13,11.92,0.9
92572345,0,97,15,10.46,2.73
92572382,0,97,13.5,8.7,1.61
92572444,0,97,18,0,3.02
92572802,1,11,17,11.08,3.86
92572918,0,97,15,10.4,2.1
92572963,1,11,15,10.43,3.62
92573010,1,11,18,9.47,4
92573311,0,97,14,9.8,2.37
92573316,1,11,17,9.11,3.59
92573818,1,12,17,12.21,2.61
92573916,1,11,17,9.39,2.85
92573917,1,12,18,10.65,3
92573943,0,97,13,10.49,2.9
92573958,0,97,15,9.85,3.29
92574018,1,11,11,10.82,0.38
92575023,0,97,13,9.11,1.9
92575249,1,11,13,10.09,3.58
92575297,0,97,17,11.81,3.25
92575324,1,12,13,9.9,1.4
92575421,1,11,14,9.9,3.59
92575526,0,97,13.5,9.47,1.75
92575807,1,11,17,0,2.88
92575868,0,97,17,11.08,2.95
92575941,1,11,20,9.9,3.88
92575959,0,97,14,10.2,1.67
92575971,1,11,17,10.9,2.89
92576248,1,12,15,9.39,3.08
92576531,1,11,18,10.6,3.13
92576533,1,11,17,10.95,3.88
92576611,1,11,18,10.67,3.05
92576693,1,11,22,10.82,2.84
92576694,1,11,17,11.41,3.58
92576937,1,11,22,11.41,3.86
92577127,1,12,19,11.23,3.42
92577217,1,11,17,11.08,3.94
92577368,1,11,18,11,3.94
92577514,1,11,14,11,2.65
92578034,0,97,15,9.9,1.42
92578580,0,97,11,9.21,0.96
92578722,1,11,17,10.31,1.62
92578935,1,11,15,9.39,2.35
92579175,1,11,15,10.46,2.5
92579238,0,97,15,9.9,1.88
92579297,0,97,15,9.21,2.31
92579376,0,97,13,9.8,1.71
92579943,0,97,13,6.08,2.5
92579960,0,97,13,10.52,1.98
92579963,0,97,14,10.15,3.17
92579968,0,97,15,10.65,0.92
92579994,1,11,15,9.47,3.46
92579998,1,11,20,10.84,4
92608078,1,11,17,10.13,3.23
92624977,0,97,15,10.6,1.69
92676153,0,97,13,10.09,2.23
92676356,0,97,20,11.08,2.98
92678179,0,97,15,10.28,2.54
92710199,0,97,13,10.24,1.46
92710398,1,12,15,10.6,2.45
92712391,0,97,17,9.74,3.14
92712996,1,11,15,10.67,2.91
92712998,1,11,15,10.28,2.38
92713198,0,97,17,11.13,3.42
92713391,1,11,15,0,3.94
92714932,0,97,15,9.21,1.79
92715357,0,97,11,9.31,1.03
92715896,0,97,17,11.35,3.14
92715931,0,97,15,10.46,3.42
92715984,1,11,15,10.04,3.94
92715998,0,97,13,9.95,3.37
92716332,0,97,15,9.21,3.11
